Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Workout,10/20/23 9:48,FALSE,Davis Running,3.07,217,0:23:58,147,177,2.7,144,202,7:49,4:32,5,8,1.36,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.7,12,0,0:19:24,0:23:58,39,46
Running,10/20/23 9:17,FALSE,Davis Running,2.01,150,0:16:21,139,155,2.2,176,187,8:09,7:40,7,3,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.1,3,0,0:16:19,0:16:39,39,46
Running,10/19/23 9:15,FALSE,Davis Running,6.14,446,0:49:17,143,160,3.1,175,198,8:02,4:43,13,13,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:03.8,7,0,0:48:57,0:54:05,43,52
Indoor Cycling,10/18/23 11:18,FALSE,Indoor Cycling,0,57,0:15:44,97,115,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,15:44.1,1,0,0:00:00,0:15:44,--,--
Running,10/18/23 10:08,FALSE,Davis Running,5.01,364,0:41:00,142,153,2.9,175,186,8:11,7:03,10,10,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.0,6,0,0:40:46,0:44:20,49,62
Running,10/17/23 10:14,FALSE,Yolo County Running,2.01,163,0:19:41,141,152,2.1,172,182,9:48,8:19,3,--,0.95,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.1,3,0,0:19:40,0:21:09,39,46
Workout,10/17/23 9:36,FALSE,Yolo County Running,4.71,339,0:30:03,176,193,3.8,182,190,6:23,5:37,10,10,1.39,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.3,6,0,0:29:54,0:32:23,26,43
Running,10/17/23 9:06,FALSE,Davis Running,2.38,183,0:18:52,149,160,2.6,176,187,7:55,7:22,7,7,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:07.0,3,0,0:18:48,0:18:52,36,46
Long Run,10/15/23 9:17,FALSE,West Sacramento Running,10.01,737,1:18:11,150,166,3.8,176,186,7:49,6:37,61,65,1.17,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.9,11,0,1:17:45,1:32:14,7,33
Running,10/14/23 11:43,FALSE,Sunnyvale Running,3.08,244,0:30:54,136,150,2.2,164,224,10:03,7:50,5,5,0.98,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:43.8,4,0,0:29:46,0:34:19,--,7
Running,10/14/23 10:37,FALSE,Sunnyvale Running,0,--,00:00.8,84,84,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.8,1,0,0:00:00,00:00.8,-42,-42
Running,10/14/23 8:57,FALSE,Sunnyvale Running,2.01,154,0:16:45,142,156,2.3,171,179,8:20,7:30,--,--,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.3,3,0,0:16:37,0:17:31,3,7
Running,10/13/23 9:19,FALSE,Yolo County Running,4.25,297,0:32:35,143,163,3,171,198,7:40,4:32,8,8,1.24,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:34.4,5,0,0:31:47,0:43:05,46,61
Running,10/12/23 9:12,FALSE,Davis Running,6.01,449,0:47:58,147,160,3.2,175,184,7:59,6:40,13,10,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.8,7,0,0:47:42,0:49:18,43,52
Indoor Cycling,10/11/23 10:11,FALSE,Indoor Cycling,0,247,1:10:06,101,133,0.7,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,10:06.1,1,0,0:00:00,1:11:52,--,--
Running,10/10/23 9:57,FALSE,Davis Running,1.99,152,0:19:43,133,142,1.8,170,177,9:53,9:13,--,--,0.96,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,09:49.2,2,0,0:19:37,0:20:21,39,46
Workout,10/10/23 9:29,FALSE,Davis Running,3.02,226,0:21:33,161,179,3.2,175,188,7:08,5:24,--,--,1.28,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.1,12,0,0:21:26,0:21:33,39,46
Running,10/10/23 8:58,FALSE,Davis Running,2.01,151,0:16:04,144,160,2.4,175,186,8:00,7:30,7,3,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.6,3,0,0:16:00,0:16:10,39,46
Long Run,10/8/23 8:59,FALSE,Yolo County Running,9.01,661,1:11:14,150,165,3.6,175,205,7:54,6:41,16,13,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.5,10,0,1:10:58,1:22:18,13,26
Running,10/6/23 16:44,FALSE,San Francisco Running,1.83,142,0:18:01,133,157,2.1,167,177,9:50,8:00,129,112,0.98,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,07:30.5,2,0,0:17:55,0:46:28,139,236
Workout,10/6/23 15:30,FALSE,San Francisco Running,3.74,280,0:25:28,173,183,3.5,178,194,6:49,4:50,235,235,1.33,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:11.5,4,0,0:25:23,0:25:28,101,190
Running,10/6/23 14:48,FALSE,Running,1.45,114,0:12:00,152,166,2.2,169,179,8:17,6:11,--,--,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:43.7,2,0,0:12:00,0:12:21,--,--
Running,10/5/23 9:06,FALSE,Davis Running,3.07,224,0:24:43,141,154,2.6,173,181,8:03,7:17,10,7,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:33.4,4,0,0:24:43,0:28:48,43,52
Running,10/4/23 9:18,FALSE,Davis Running,4.02,286,0:35:14,134,148,2.4,171,184,8:46,7:32,12,12,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:09.5,5,0,0:34:32,0:37:53,28,55
Running,10/3/23 10:12,FALSE,Davis Running,2.01,150,0:20:14,128,142,1.8,171,181,10:05,9:01,--,--,0.93,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.0,3,0,0:20:13,0:22:29,39,46
Workout,10/3/23 9:31,FALSE,Davis Running,2.95,223,0:24:44,145,174,2.9,139,201,8:22,4:05,4,6,1.3,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:36.1,15,0,0:19:35,0:28:23,39,46
Running,10/3/23 9:05,FALSE,Davis Running,2.01,147,0:15:58,143,156,2.3,174,212,7:58,7:12,7,3,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.3,3,0,0:15:58,0:16:04,39,46
Long Run,10/1/23 9:37,FALSE,Solano County Running,9.01,678,1:07:32,158,184,4,176,189,7:30,6:55,58,55,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.5,10,0,1:07:13,1:12:36,34,72
Running,9/30/23 10:25,FALSE,Davis Running,7.03,515,0:55:28,149,164,3.3,175,182,7:54,7:20,8,8,1.17,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:13.2,8,0,0:55:13,1:01:41,49,69
Running,9/29/23 9:11,FALSE,Yolo County Running,2.01,154,0:17:52,142,154,2.2,173,184,8:54,7:50,7,10,1.04,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.9,3,0,0:17:30,0:20:50,49,56
Workout,9/29/23 8:34,FALSE,Yolo County Running,3.95,283,0:26:07,164,187,3.5,164,190,6:37,5:36,3,3,1.54,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.4,8,0,0:25:50,0:26:07,49,52
Running,9/29/23 8:03,FALSE,Yolo County Running,2.01,145,0:16:22,138,160,2.2,172,182,8:09,7:34,7,10,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.7,3,0,0:16:03,0:19:45,49,56
Running,9/28/23 8:37,FALSE,Davis Running,6.01,422,0:48:42,140,153,2.9,174,184,8:06,7:33,13,13,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.4,7,0,0:48:24,1:00:25,43,52
Running,9/27/23 7:26,FALSE,Davis Running,7.02,489,0:54:38,142,153,3.1,175,186,7:47,7:10,20,20,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:08.3,8,0,0:54:18,1:00:29,46,59
Running,9/26/23 9:51,FALSE,Davis Running,2.23,179,0:19:51,149,157,2.4,175,186,8:54,8:14,6,7,1.03,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:59.3,3,0,0:19:46,0:20:07,36,43
Workout,9/26/23 9:17,FALSE,Davis Running,3.79,270,0:28:15,159,185,3.1,152,202,7:28,4:35,--,--,1.38,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.4,12,0,0:24:40,0:28:15,39,46
Running,9/26/23 8:44,FALSE,Davis Running,2.01,152,0:15:50,148,160,2.4,178,187,7:53,7:28,7,3,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.3,3,0,0:15:48,0:16:02,38,46
Long Run,9/24/23 9:02,FALSE,Davis Running,12.01,924,1:29:32,168,193,4.7,177,188,7:27,6:19,21,23,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.0,13,0,1:29:19,1:37:24,43,52
Running,9/23/23 10:11,FALSE,Davis Running,7.01,520,0:56:06,149,163,3.3,175,184,8:00,7:22,16,16,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.0,8,0,0:55:52,1:04:07,46,59
Running,9/22/23 8:58,FALSE,Lane County Running,6.12,433,0:48:10,142,162,3.2,174,184,7:52,6:55,230,230,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:54.4,7,0,0:47:58,0:50:23,839,923
Workout,9/21/23 10:41,FALSE,Eugene Running,7.51,577,0:57:19,161,186,4,175,188,7:38,5:18,113,113,1.2,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.6,16,0,0:57:09,1:02:03,396,445
Running,9/19/23 9:30,FALSE,Davis Running,2.52,202,0:23:13,145,156,2.3,176,185,9:13,7:58,22,3,0.99,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:26.7,3,0,0:20:35,0:23:19,24,46
Workout,9/19/23 8:56,FALSE,Davis Running,3.52,244,0:23:05,166,183,3.3,181,198,6:33,4:38,--,--,1.35,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.9,12,0,0:22:54,0:24:19,39,46
Running,9/19/23 8:24,FALSE,Davis Running,2.01,151,0:16:10,140,157,2.3,176,187,8:03,7:29,7,3,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.8,3,0,0:16:05,0:16:16,38,46
Running,9/18/23 8:27,FALSE,Solano County Running,5.02,355,0:40:32,140,154,2.8,178,187,8:05,7:28,83,80,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:07.1,6,0,0:40:17,0:42:08,38,62
Long Run,9/17/23 8:25,FALSE,Davis Running,9.01,658,1:15:20,143,158,3.2,177,187,8:22,7:09,18,20,1.09,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.5,10,0,1:14:54,1:20:27,39,52
Running,9/16/23 9:08,FALSE,Yolo County Running,6.02,427,0:48:26,142,158,3,174,187,8:02,7:37,7,7,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:09.8,7,0,0:47:42,0:59:51,49,59
Running,9/15/23 19:03,FALSE,Davis Running,1.45,110,0:16:32,122,143,1.1,155,199,11:25,6:51,--,--,0.91,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:02.1,2,0,0:15:57,0:35:41,39,43
Running,9/15/23 17:30,FALSE,Davis Running,1.64,129,0:13:02,159,174,2.4,172,179,7:58,7:18,--,--,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:07.1,2,0,0:13:02,0:13:33,39,43
Running,9/14/23 8:27,FALSE,Davis Running,4.01,293,0:32:23,143,156,2.8,176,186,8:05,7:25,10,7,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.0,5,0,0:32:16,0:33:24,33,46
Running,9/13/23 8:31,FALSE,Solano County Running,5.01,364,0:40:51,143,158,2.9,176,184,8:09,7:29,46,44,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.9,6,0,0:40:44,0:43:10,38,69
Running,9/12/23 9:25,FALSE,Yolo County Running,2.5,189,0:28:23,126,146,1.5,170,186,11:20,9:57,26,22,0.84,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:26.2,3,0,0:28:17,0:32:42,42,56
Workout,9/12/23 9:06,FALSE,Yolo County Running,2.31,163,0:16:03,157,175,2.9,179,198,6:56,4:34,29,35,1.28,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:27.8,9,0,0:16:01,0:16:03,41,62
Running,9/12/23 8:30,FALSE,Yolo County Running,2.02,148,0:16:10,144,162,2.3,174,186,7:59,7:22,21,3,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:10.4,3,0,0:16:01,0:16:36,43,72
Long Run,9/10/23 8:34,FALSE,Sacramento County Running,10.01,735,1:13:35,161,186,4.4,179,190,7:21,5:51,145,145,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:10.0,11,0,1:13:18,1:18:20,34,71
Running,9/9/23 8:50,FALSE,Yolo County Running,6.04,451,0:49:10,148,166,3.1,174,184,8:08,7:26,16,16,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:19.1,7,0,0:48:37,0:56:38,49,59
Running,9/8/23 9:45,FALSE,Davis Running,1.5,117,0:17:14,125,138,1.1,172,185,11:28,10:27,--,--,0.82,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:52.6,2,0,0:17:11,0:18:08,39,46
Workout,9/8/23 8:45,FALSE,Davis Running,5.48,413,0:40:35,158,184,3.7,158,193,7:25,5:14,5,4,1.33,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:22.4,13,0,0:36:10,0:40:35,39,46
Running,9/8/23 8:10,FALSE,Davis Running,2.01,154,0:16:05,150,169,2.5,175,186,8:01,7:26,7,3,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.9,3,0,0:15:54,0:16:30,38,46
Running,9/7/23 8:43,FALSE,Davis Running,5.02,367,0:41:32,141,151,2.9,176,186,8:16,7:33,15,15,1.1,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:11.3,6,0,0:41:22,0:47:47,26,46
Running,9/6/23 8:23,FALSE,Solano County Running,7.01,512,0:56:11,145,161,3.3,175,185,8:01,7:20,45,45,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.6,8,0,0:55:57,1:03:39,30,62
